type,title,subtitle,country,tags,difficulty,ranking,city,tuition_usd,acceptance_rate,degree,stem_eligible,recommended_background,career_paths,organizer,eligibility,award,season,provider,format,duration_weeks,workload,curriculum,sequence,estimated_hours,key_skill
school,Tufts University,塔夫茨大学,United States,,Match,36 UsNews,Medford MA,67950,9.50%,,,,,,,,,,,,,,,,
school,University of Illinois at Urbana-Champaign,伊利诺伊大学香槟分校,United States,,Match,36 UsNews,Urbana IL,39490,45.00%,,,,,,,,,,,,,,,,
school,University of Wisconsin-Madison,威斯康星大学麦迪逊分校,United States,,Match,36 UsNews,Madison WI,40110,49.00%,,,,,,,,,,,,,,,,
school,University of California-Santa Barbara,加州大学圣塔芭芭拉分校,United States,,Match,40 UsNews,Santa Barbara CA,45210,26.00%,,,,,,,,,,,,,,,,
school,Ohio State University-Main Campus,俄亥俄州立大学,United States,,Match,41 UsNews,Columbus OH,39600,53.00%,,,,,,,,,,,,,,,,
school,Boston University,波士顿大学,United States,,Match,42 UsNews,Boston MA,66710,11.00%,,,,,,,,,,,,,,,,
school,Rutgers University-New Brunswick,罗格斯大学,United States,,Match,42 UsNews,New Brunswick NJ,33120,66.00%,,,,,,,,,,,,,,,,
school,University of Maryland-College Park,马里兰大学帕克分校,United States,,Match,42 UsNews,College Park MD,41690,45.00%,,,,,,,,,,,,,,,,
school,University of Washington-Seattle Campus,华盛顿大学,United States,,Match,42 UsNews,Seattle WA,41420,48.00%,,,,,,,,,,,,,,,,
school,Lehigh University,里海大学,United States,,Match,46 UsNews,Bethlehem PA,60050,22.00%,,,,,,,,,,,,,,,,
school,Northeastern University,东北大学,United States,,Match,46 UsNews,Boston MA,63030,5.00%,,,,,,,,,,,,,,,,
school,Purdue University-Main Campus,普渡大学,United States,,Match,46 UsNews,West Lafayette IN,31092,53.00%,,,,,,,,,,,,,,,,
school,University of Georgia,佐治亚大学,United States,,Match,46 UsNews,Athens GA,38004,36.00%,,,,,,,,,,,,,,,,
school,University of Rochester,罗切斯特大学,United States,,Match,46 UsNews,Rochester NY,63792,18.00%,,,,,,,,,,,,,,,,
school,Case Western Reserve University,凯斯西储大学,United States,,Match,51 UsNews,Cleveland OH,63890,24.00%,,,,,,,,,,,,,,,,
school,Florida State University,佛罗里达州立大学,United States,,Match,51 UsNews,Tallahassee FL,25490,25.00%,,,,,,,,,,,,,,,,
school,Texas A&M University-College Station,德州农工大学,United States,,Match,51 UsNews,College Station TX,38780,63.00%,,,,,,,,,,,,,,,,
school,Virginia Polytechnic Institute and State University,弗吉尼亚理工,United States,,Match,51 UsNews,Blacksburg VA,35620,56.00%,,,,,,,,,,,,,,,,
school,Wake Forest University,维克森林大学,United States,,Match,51 UsNews,Winston-Salem NC,61400,13.00%,,,,,,,,,,,,,,,,
school,College of William and Mary,威廉玛丽学院,United States,,Match,51 UsNews,Williamsburg VA,39690,27.00%,,,,,,,,,,,,,,,,
school,University of California-Merced,加州大学默塞德分校,United States,,Match,57 UsNews,Merced CA,28590,89.00%,,,,,,,,,,,,,,,,
school,Villanova University,维拉诺瓦大学,United States,,Match,57 UsNews,Villanova PA,63742,19.00%,,,,,,,,,,,,,,,,
school,George Washington University,乔治华盛顿大学,United States,,Match,59 UsNews,Washington DC,66000,43.00%,,,,,,,,,,,,,,,,
school,The Pennsylvania State University,宾夕法尼亚州立大学,United States,,Match,59 UsNews,University Park PA,36794,54.00%,,,,,,,,,,,,,,,,
school,Santa Clara University,圣克拉拉大学,United States,,Match,59 UsNews,Santa Clara CA,58986,13.00%,,,,,,,,,,,,,,,,
school,Stony Brook University,纽约州立大学石溪分校,United States,,Match,59 UsNews,Stony Brook NY,32040,49.00%,,,,,,,,,,,,,,,,
school,University of Minnesota-Twin Cities,明尼苏达大学双城分校,United States,,Match,59 UsNews,Minneapolis MN,38160,52.00%,,,,,,,,,,,,,,,,
school,Michigan State University,密歇根州立大学,United States,,Safety,64 UsNews,East Lansing MI,43100,60.00%,,,,,,,,,,,,,,,,
school,North Carolina State University at Raleigh,北卡罗来纳州立大学,United States,,Safety,64 UsNews,Raleigh NC,31530,46.00%,,,,,,,,,,,,,,,,
school,Rensselaer Polytechnic Institute,伦斯勒理工学院,United States,,Safety,64 UsNews,Troy NY,59520,66.00%,,,,,,,,,,,,,,,,
school,University of Massachusetts-Amherst,马萨诸塞大学安姆斯特分校,United States,,Safety,64 UsNews,Amherst MA,39120,64.00%,,,,,,,,,,,,,,,,
school,University of Miami,迈阿密大学,United States,,Safety,64 UsNews,Miami FL,56880,19.00%,,,,,,,,,,,,,,,,
school,Brandeis University,布兰迪斯大学,United States,,Safety,69 UsNews,Waltham MA,62682,13.00%,,,,,,,,,,,,,,,,
school,Tulane University of Louisiana,杜兰大学,United States,,Safety,69 UsNews,New Orleans LA,66400,10.00%,,,,,,,,,,,,,,,,
school,University of Connecticut,康涅狄格大学,United States,,Safety,69 UsNews,Storrs CT,42682,55.00%,,,,,,,,,,,,,,,,
school,University of Pittsburgh-Pittsburgh Campus,匹兹堡大学,United States,,Safety,69 UsNews,Pittsburgh PA,41192,49.00%,,,,,,,,,,,,,,,,
school,Binghamton University,纽约州立大学宾汉姆顿分校,United States,,Safety,73 UsNews,Binghamton NY,28540,54.00%,,,,,,,,,,,,,,,,
school,Indiana University-Bloomington,印第安纳大学伯明顿分校,United States,,Safety,73 UsNews,Bloomington IN,38720,82.00%,,,,,,,,,,,,,,,,
school,Clemson University,克莱姆森大学,United States,,Safety,75 UsNews,Clemson SC,39300,38.00%,,,,,,,,,,,,,,,,
school,Rutgers University-Newark,罗格斯大学纽瓦克分校,United States,,Safety,75 UsNews,Newark NJ,33120,66.00%,,,,,,,,,,,,,,,,
school,Syracuse University,雪城大学,United States,,Safety,75 UsNews,Syracuse NY,60590,46.00%,,,,,,,,,,,,,,,,
school,University at Buffalo,纽约州立大学布法罗分校,United States,,Safety,75 UsNews,Buffalo NY,32090,70.00%,,,,,,,,,,,,,,,,
school,University of California-Riverside,加州大学河滨分校,United States,,Safety,75 UsNews,Riverside CA,44320,64.00%,,,,,,,,,,,,,,,,
school,Colorado School of Mines,科罗拉多矿业大学,United States,,Safety,80 UsNews,Golden CO,57530,19.00%,,,,,,,,,,,,,,,,
school,Drexel University,德雷塞尔大学,United States,,Safety,80 UsNews,Philadelphia PA,56695,77.00%,,,,,,,,,,,,,,,,
school,New Jersey Institute of Technology,新泽西理工大学,United States,,Safety,80 UsNews,Newark NJ,33640,66.00%,,,,,,,,,,,,,,,,
school,Stevens Institute of Technology,史蒂文斯理工学院,United States,,Safety,80 UsNews,Hoboken NJ,60740,46.00%,,,,,,,,,,,,,,,,
school,Pepperdine University,佩珀代因大学,United States,,Safety,84 UsNews,Malibu CA,68100,24.00%,,,,,,,,,,,,,,,,
school,University of Illinois at Chicago,伊利诺伊大学芝加哥分校,United States,,Safety,84 UsNews,Chicago IL,33740,79.00%,,,,,,,,,,,,,,,,
school,Worcester Polytechnic Institute,伍斯特理工学院,United States,,Safety,84 UsNews,Worcester MA,59350,47.00%,,,,,,,,,,,,,,,,
school,Yeshiva University,叶史瓦大学,United States,,Safety,84 UsNews,New York NY,48500,48.00%,,,,,,,,,,,,,,,,
school,American University,美利坚大学,United States,,Safety,88 UsNews,Washington DC,54760,48.00%,,,,,,,,,,,,,,,,
school,Baylor University,贝勒大学,United States,,Safety,88 UsNews,Waco TX,54720,46.00%,,,,,,,,,,,,,,,,
school,Howard University,霍华德大学,United States,,Safety,88 UsNews,Washington DC,31140,34.00%,,,,,,,,,,,,,,,,
school,Marquette University,马凯特大学,United States,,Safety,88 UsNews,Milwaukee WI,47810,87.00%,,,,,,,,,,,,,,,,
school,Rochester Institute of Technology,罗切斯特理工,United States,,Safety,88 UsNews,Rochester NY,56188,58.00%,,,,,,,,,,,,,,,,
school,Southern Methodist University,南卫理公会大学,United States,,Safety,88 UsNews,Dallas TX,60460,52.00%,,,,,,,,,,,,,,,,
school,University of California-Santa Cruz,加州大学圣克鲁兹分校,United States,,Safety,88 UsNews,Santa Cruz CA,44670,62.00%,,,,,,,,,,,,,,,,
school,University of Delaware,特拉华大学,United States,,Safety,88 UsNews,Newark DE,41520,63.00%,,,,,,,,,,,,,,,,
school,University of South Florida-Main Campus,南佛罗里达大学,United States,,Safety,88 UsNews,Tampa FL,27990,44.00%,,,,,,,,,,,,,,,,
school,Florida International University,佛罗里达国际大学,United States,,Safety,97 UsNews,Miami FL,32188,44.00%,,,,,,,,,,,,,,,,
school,Fordham University,福特汉姆大学,United States,,Safety,97 UsNews,New York NY,64470,46.00%,,,,,,,,,,,,,,,,
school,Rutgers University--Camden,罗格斯大学卡姆登分校,United States,,Safety,97 UsNews,Camden NJ,33120,66.00%,,,,,,,,,,,,,,,,
school,Texas Christian University,德克萨斯基督教大学,United States,,Safety,97 UsNews,Fort Worth TX,61740,52.00%,,,,,,,,,,,,,,,,
school,University of Colorado Boulder,科罗拉多大学博尔德分校,United States,,Safety,97 UsNews,Boulder CO,42486,56.00%,,,,,,,,,,,,,,,,
