type,title,subtitle,country,tags,difficulty,ranking,city,tuition_usd,acceptance_rate,degree,stem_eligible,recommended_background,career_paths,organizer,eligibility,award,season,provider,format,duration_weeks,workload,curriculum,sequence,estimated_hours,key_skill
course,IB Language ab initio,Beginner language acquisition course,Global,"IB,Language Acquisition,Beginner",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,5 hours/week,,,,
course,IB Classical Languages,Classical language study through literature and culture,Global,"IB,Language Acquisition,Classics",Reach,,,,,,,,,,,,,International Baccalaureate,Offline,96,5 hours/week,,,,
course,IB Business Management,"Organizations, decision-making and strategy",Global,"IB,Individuals and Societies,Business",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Digital Society,"Digital systems, data and societal impact",Global,"IB,Individuals and Societies,Digital Society",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Economics,"Microeconomics, macroeconomics and global economics",Global,"IB,Individuals and Societies,Economics",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Geography,"People, places and environmental interactions",Global,"IB,Individuals and Societies,Geography",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Global Politics,"Power, sovereignty and international relations",Global,"IB,Individuals and Societies,Politics",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB History,Historical inquiry through comparative perspectives,Global,"IB,Individuals and Societies,History",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Philosophy,"Philosophical inquiry, argument and evaluation",Global,"IB,Individuals and Societies,Philosophy",Reach,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Psychology,"Cognitive, biological and sociocultural approaches to behavior",Global,"IB,Individuals and Societies,Psychology",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Social and Cultural Anthropology,Comparative study of human societies and cultures,Global,"IB,Individuals and Societies,Anthropology",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB World Religions,Comparative study of religious beliefs and practices,Global,"IB,Individuals and Societies,Religion",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,5 hours/week,,,,
course,IB Art History,"Visual culture, artworks and interpretation",Global,"IB,Individuals and Societies,Art History",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,5 hours/week,,,,
course,IB Brazilian Social Studies,Brazil-focused social studies course,Global,"IB,Individuals and Societies,Regional Studies",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,5 hours/week,,,,
course,IB Classical Greek and Roman Studies,Classical civilizations through texts and sources,Global,"IB,Individuals and Societies,Classics",Reach,,,,,,,,,,,,,International Baccalaureate,Offline,96,5 hours/week,,,,
course,IB History of Kazakhstan,Kazakhstan-focused historical studies,Global,"IB,Individuals and Societies,Regional History",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,5 hours/week,,,,
course,IB Turkey in the 20th Century,Modern Turkish historical studies,Global,"IB,Individuals and Societies,Regional History",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,5 hours/week,,,,
course,IB World Arts and Cultures,Comparative study of artistic traditions and cultures,Global,"IB,Individuals and Societies,Arts and Culture",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,5 hours/week,,,,
course,IB Biology,Experimental biology and systems understanding,Global,"IB,Sciences,Biology",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,7 hours/week,,,,
course,IB Chemistry,"Chemical principles, models and laboratory inquiry",Global,"IB,Sciences,Chemistry",Reach,,,,,,,,,,,,,International Baccalaureate,Offline,96,7 hours/week,,,,
course,IB Computer Science,"Computational thinking, programming and systems",Global,"IB,Sciences,Computer Science",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,7 hours/week,,,,
course,IB Design Technology,"Design process, innovation and prototyping",Global,"IB,Sciences,Design",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Physics,"Mechanics, fields, waves and modern physics",Global,"IB,Sciences,Physics",Reach,,,,,,,,,,,,,International Baccalaureate,Offline,96,7 hours/week,,,,
course,"IB Sports, Exercise and Health Science","Applied physiology, biomechanics and health science",Global,"IB,Sciences,Sports Science",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Astronomy,Astronomical observation and interpretation,Global,"IB,Sciences,Astronomy",Reach,,,,,,,,,,,,,International Baccalaureate,Offline,96,5 hours/week,,,,
course,IB Food Science and Technology,"Food systems, processing and nutrition science",Global,"IB,Sciences,Food Science",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,5 hours/week,,,,
course,IB Marine Science,Marine ecosystems and ocean science,Global,"IB,Sciences,Marine Science",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,5 hours/week,,,,
course,IB Mathematics: Analysis and Approaches SL,Rigorous mathematical reasoning at standard level,Global,"IB,Mathematics,Analysis",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Mathematics: Analysis and Approaches HL,Rigorous mathematical reasoning at higher level,Global,"IB,Mathematics,Analysis,Advanced",Reach,,,,,,,,,,,,,International Baccalaureate,Offline,96,8 hours/week,,,,
course,IB Mathematics: Applications and Interpretation SL,"Mathematics for modeling, statistics and real-world applications",Global,"IB,Mathematics,Applications",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Mathematics: Applications and Interpretation HL,"Advanced modeling, statistics and interpretation",Global,"IB,Mathematics,Applications,Advanced",Reach,,,,,,,,,,,,,International Baccalaureate,Offline,96,8 hours/week,,,,
course,IB Dance,"Performance, composition and dance analysis",Global,"IB,Arts,Dance",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Film,"Film analysis, production and contextual understanding",Global,"IB,Arts,Film",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Music,"Performance, creation and critical listening",Global,"IB,Arts,Music",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Theatre,Collaborative theatre making and performance analysis,Global,"IB,Arts,Theatre",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Visual Arts,"Studio practice, process portfolio and comparative study",Global,"IB,Arts,Visual Arts",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Literary Arts,Creative writing and literary craft,Global,"IB,Arts,Writing",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,5 hours/week,,,,
course,A Level Accounting,"Financial accounting, costing and analysis",Global,"A-Level,Business,Accounting",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Afrikaans - Language,Advanced Afrikaans language study,Global,"A-Level,Language,Afrikaans",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Arabic,Advanced Arabic language study,Global,"A-Level,Language,Arabic",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Arabic - Language,Arabic language skills and communication,Global,"A-Level,Language,Arabic",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Art & Design,Portfolio-based studio art and design,Global,"A-Level,Arts,Design",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Biblical Studies,Study of biblical texts and contexts,Global,"A-Level,Humanities,Religion",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Biology,Advanced biology theory and practical work,Global,"A-Level,Biology,STEM",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Business,"Business strategy, finance and operations",Global,"A-Level,Business,Management",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Chemistry,Advanced chemistry concepts and practical work,Global,"A-Level,Chemistry,STEM",Reach,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Chinese - Language & Literature,Chinese language and literary analysis,Global,"A-Level,Language,Chinese,Literature",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Chinese Language,Chinese language skills and communication,Global,"A-Level,Language,Chinese",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Classical Studies,"Classical civilizations, history and culture",Global,"A-Level,Humanities,Classics",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Computer Science,"Programming, algorithms and computer systems",Global,"A-Level,Computer Science,STEM",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Design & Technology,"Product design, materials and systems",Global,"A-Level,Design,Engineering",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Digital Media & Design,"Digital design, media production and communication",Global,"A-Level,Design,Media",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Drama,"Performance, interpretation and theatre practice",Global,"A-Level,Arts,Theatre",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Economics,"Microeconomics, macroeconomics and policy",Global,"A-Level,Economics,Social Science",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level English - Language and Literature,Integrated study of language and literary texts,Global,"A-Level,English,Literature",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level English - Literature,Literary analysis across genres and periods,Global,"A-Level,English,Literature",Reach,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level English General Paper,"Critical thinking, reading and argument writing",Global,"A-Level,English,Critical Thinking",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level English Language,Language analysis and writing,Global,"A-Level,English,Writing",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Environmental Management,Environmental systems and resource management,Global,"A-Level,Environmental Science,STEM",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level European History,European history through thematic and source study,Global,"A-Level,History,Humanities",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level French Language & Literature,French language and literary analysis,Global,"A-Level,Language,French,Literature",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level French Language,Advanced French language skills,Global,"A-Level,Language,French",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Geography,Human and physical geography,Global,"A-Level,Geography,Social Science",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level German - Language,Advanced German language skills,Global,"A-Level,Language,German",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level German Language & Literature,German language and literary analysis,Global,"A-Level,Language,German,Literature",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Global Perspectives & Research,Cross-disciplinary issues analysis and independent research,Global,"A-Level,Research,Interdisciplinary",Reach,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Hinduism,"Texts, philosophy and practice in Hinduism",Global,"A-Level,Humanities,Religion",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level History,Historical interpretation and source analysis,Global,"A-Level,History,Humanities",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Information Technology,"Digital systems, databases and networking",Global,"A-Level,Information Technology,STEM",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level International History,International history through global perspectives,Global,"A-Level,History,Global Studies",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Islamic Studies,"Islamic history, thought and texts",Global,"A-Level,Humanities,Religion",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Law,"Legal principles, institutions and case analysis",Global,"A-Level,Law,Humanities",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Marine Science,Marine environments and ocean processes,Global,"A-Level,Marine Science,STEM",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Mathematics,"Pure mathematics, mechanics and statistics",Global,"A-Level,Math,STEM",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Further Mathematics,Extended advanced mathematics,Global,"A-Level,Math,STEM,Advanced",Reach,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Media Studies,"Media forms, audiences and representation",Global,"A-Level,Media,Humanities",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Music,"Performance, listening and composition",Global,"A-Level,Arts,Music",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Physics,Advanced physics theory and practical work,Global,"A-Level,Physics,STEM",Reach,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Portuguese - Language,Advanced Portuguese language skills,Global,"A-Level,Language,Portuguese",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Portuguese,Portuguese language and literary study,Global,"A-Level,Language,Portuguese",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Psychology,"Psychological theory, research methods and application",Global,"A-Level,Psychology,Social Science",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Sociology,"Social structures, inequality and research methods",Global,"A-Level,Sociology,Social Science",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Spanish - Language & Literature,Spanish language and literary analysis,Global,"A-Level,Language,Spanish,Literature",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Spanish Language,Advanced Spanish language skills,Global,"A-Level,Language,Spanish",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Sport & Physical Education,Applied sport science and physical education,Global,"A-Level,Sports Science,STEM",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Tamil,Advanced Tamil language and literature,Global,"A-Level,Language,Tamil",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Tamil - Language,Tamil language skills and communication,Global,"A-Level,Language,Tamil",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Thinking Skills,"Problem solving, critical thinking and reasoning",Global,"A-Level,Critical Thinking,Interdisciplinary",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Travel & Tourism,"Tourism systems, destinations and customer experience",Global,"A-Level,Tourism,Business",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Urdu - Language,Advanced Urdu language skills,Global,"A-Level,Language,Urdu",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Urdu,Urdu language and literary study,Global,"A-Level,Language,Urdu",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level Urdu Language & Literature,Urdu language and literary analysis,Global,"A-Level,Language,Urdu,Literature",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level US History since 1877,Modern United States history since Reconstruction,Global,"A-Level,History,US History",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
course,A Level US History to 1877,United States history to Reconstruction,Global,"A-Level,History,US History",Match,,,,,,,,,,,,,Cambridge International,Offline,96,12 hours/week,,,,
